Gene	Virus	Abbre	Baltimore	Family
NDUFS8	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
CHP1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
NDUFV1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
NDUFV2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
NEFH	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
NUP93	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
NKAP	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
NKAPD1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
STIM1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
MRPS30	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
GNL3	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
HBB	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
EID1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
KNOP1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
COPS2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
NSUN2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
COX6B1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
PHB2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
HSD17B11	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
MRPL21	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
YIPF3	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
CXorf56	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SRPRB	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
LARP1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ATAD3A	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SEC63	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
